Affiliation No.,Company,Last Name,Address,State,Phone,Email,Website,Affiliated upto,Type of School,Description
1931043,A A Public School,Principal Mrs. S.Gnana Jothi,"17/8, Andiappan Gramani Street, Royapuram, Chennai ,600013",Tamil Nadu,",04448595902",aapublicschool@gmail.com,,3/31/2022,Secondary School,1931043 Affiliation No Secondary School
1930134,A J C English School,Principal Anandhavalli K,"Lal Bahadur Shastri Road Kumbakonam Tamil Nadu ,612001",Tamil Nadu,"0435 ,2420730",anandhiphysics@gmail.com,ajcschool.com,3/31/2022,Secondary School,1930134 Affiliation No Secondary School
1930516,A M Public School,Principal Mrs. Thamayanthi S,"Nadupatti Kadayampatti(Tk) Salem District ,636351",Tamil Nadu,"4290 ,04290243578",ampublicschool12@gmail.com,www.ampublicschool.in,3/31/2022,Senior Secondary,1930516 Affiliation No Senior Secondary
1930235,A.K.T. Memorial Vidya Saaket School,Principal S Usha Kumari,"Neelamangalam Village Kallakurichi - Post, Villupuram Distt., Tamilnadu ,606202",Tamil Nadu,"4151 ,226655",principal.aktcbse@gmail.com,www.aktcbse.in,3/31/2022,Secondary School,1930235 Affiliation No Secondary School
1930354,A.R.J. Public School,Principal Kavitha S,"Thirumankottai Main Road, Edayarnatham, Mannargudi -614001 ,614001",Tamil Nadu,"4367 ,223333",arjps@arj.edu.in,www.arj.edu.in,3/31/2020,Senior Secondary,1930354 Affiliation No Senior Secondary
1930784,Aaa International School,Principal Thilaga Athavan,"828, A, S.N. Puram Road, Thiruthangal, Sivakasi ,626130",Tamil Nadu,"0456 ,2228885",thilaga.athavan@gmail.com,www.aaainternationalschool.com,3/31/2020,Secondary School,1930784 Affiliation No Secondary School
1930238,Abacus International Montessori School,Principal Josephine Maria Prema,"S.F.No 516 Mudali Palayam Pirivu, Perunthozhuvu Road, Kangayam Road ,641606",Tamil Nadu,"0421 ,3212321",principal@aimstirupur.com,www.aimstirupur.com,3/31/2020,Senior Secondary,1930238 Affiliation No Senior Secondary
1930573,Abcs Kenbridge School,Principal Ravichandran S,"Trichy Rameswaram Main Road,Naranamangalam Post,Near Devipattinam, Ramanathapuram Dist ,623537",Tamil Nadu,"4567 ,259364",kenbridgeprincipal@gmail.com,www.abcskenbridgeschool.com,3/31/2020,Senior Secondary,1930573 Affiliation No Senior Secondary
1930290,Abs Vidhya Mandhir,Principal Rathi Menon,"Thalakancherry Road, Iveli Agaram, Thiruvallur ,602001",Tamil Nadu,"0 ,9244940111",absvm.rathi@gmail.com,www.absvidhyamandhir.com,3/31/2022,Senior Secondary,1930290 Affiliation No Senior Secondary
1930428,Achariya School,Principal Sudalaimuthu,"3/185-1,Muthumariamman Kovil Road ,628721",Tamil Nadu,"4632 ,248689",sudalaimuthu1981@gmail.com,www.achariyaschoolvmt.com,3/31/2021,Secondary School,1930428 Affiliation No Secondary School
1930450,Achyuta Academy School,Principal Karthikaikumar S,"Thadicombu Road, Kurumbapatti Village, Dindigul Distt., Tamilnadu ,624001",Tamil Nadu,"91 ,9047057017",karthikaikumar.aps@gmail.com,www.achyutapublic.com,3/31/2020,Senior Secondary,1930450 Affiliation No Senior Secondary
1930136,Adarsh Vidya Kendra,Principal Binumon V R,"Poineer Compound Vetturnimadam Nagercoil Kanyakumari Distt. Tamil Nadu ,629003",Tamil Nadu,"4652 ,232354",binuvraj@yahoo.co.in,www.adarshvidyakendra.in,3/31/2006,Secondary School,1930136 Affiliation No Secondary School
1930371,Adharsh Vidhyalaya Public School,Principal Settu V,"Paruvachi (Po), Bhavani (Tk), Erode (Dt) - 638 312, Tamilnadu, India ,638312",Tamil Nadu,"4256 ,256555",avps312@gmail.com,www.adharshvidhyalaya.com,3/31/2022,Senior Secondary,1930371 Affiliation No Senior Secondary
1930910,Adharsh Vidhyalaya Public School,Principal Mrs. Sindhu K,"Adharsh Vidhyalaya Public School Adharsh Nagar, Ksn Puram (Po) - 641662, Palladam (Tk), Tiruppur (Dt), Tamilnadu, India. ,641662",Tamil Nadu,",04255277666",avps.palladam@gmail.com,http://www.adharshvidhyalaya.com,3/31/2021,Secondary School,1930910 Affiliation No Secondary School
1930887,Adhiyaman Public School,Principal Mrs. Shilpa Sawant,"Malligai Nagar, Uthangarai - 635207 ,635207",Tamil Nadu,",04341223189",drvstm2015@gmail.com,http://www.adhiyamanpublicschool.com,3/31/2021,Secondary School,1930887 Affiliation No Secondary School
1930311,Adhyapana School,Principal Aruna M Visvessvar,"Visthara,Beyond Fatima College,Madurai-Dindugal Main Road,Madurai- 625 402. ,625402",Tamil Nadu,"0452 ,2970207",avisveswar@gmail.com,www.adhyapana.com,3/31/2021,Senior Secondary,1930311 Affiliation No Senior Secondary
1930633,Adithya International School,Principal Mrs. A.R.Indirani,"S.F No 222, Lakshmi Nagar Idigarai Post Idigarai ,641022",Tamil Nadu,"0422 ,09842211901,",indiranim.phil@gmail.com,www.adithyainternationalschool.com,3/31/2022,Senior Secondary,1930633 Affiliation No Senior Secondary
1930995,Aditya Vidyashram Gurugram Campus E Techno School,Principal Mrs. Manimalai,"Poonamalle-Avadi Main Road, Veeraghavapuram, Thiruverkadu ,600077",Tamil Nadu,",9159523999",info@adityacbse.com,,3/31/2022,Secondary School,1930995 Affiliation No Secondary School
1930740,Advaith International Academy,Principal Mrs. Chandrika.K,"Virupasandram, (Inupasandram - Nallur Road), Nallur Panchayat, Hosur Taluk, Hosur. ,635103",Tamil Nadu,"4344 ,9488785536",advaithprincipal@gmail.com,advaithacademy.ac.in,3/31/2022,Senior Secondary,1930740 Affiliation No Senior Secondary
1930415,Agaram Public School,Principal Stephenson,"Karur Main Road, Kolathupalayam, Dharapuram Periyar ,638661",Tamil Nadu,"0425 ,8241333",agarampublicschool@gmail.com,www.agarampublicschool.com,3/31/2023,Senior Secondary,1930415 Affiliation No Senior Secondary
1930961,Agarwal Vidyalaya And Junior College,Principal Dr. R.Charles,"No.54, Evk Sampath Road, Vepery, Chennai ,600007",Tamil Nadu,",04426618665",avjrcollege@gmail.com,http://www.agarwalvidyalaya.com,3/31/2022,Secondary School,1930961 Affiliation No Secondary School
1930280,Agastya Academy,Principal S Chidhambaram,"Arachalur - Chennimalai Main Road, Sunaiparai, Veerapampalayam (Po),Dist.Periyar, Tamil Nadu-638 101 ,638101",Tamil Nadu,"0424 ,2357879",chemistchimbu@gmail.com,www.amarjyothischool.info,3/31/2021,Senior Secondary,1930280 Affiliation No Senior Secondary
1930733,Agurchand Manmull Jain School,Principal Mrs.R.Niranjani,"No.2, Govindasamy Street, Nanganallur, Meenambakkam ,600114",Tamil Nadu,"044 ,044 22249902,",amjainschool@yahoo.com,amjainschool.org.in,3/31/2022,Senior Secondary,1930733 Affiliation No Senior Secondary
1980006,Air Force School,Principal Mr. Bhanumathy Chandran,"Afac Administrative College Red Fields Coimbatore Tamil Nadu ,641018",Tamil Nadu,"0422 ,2220321",afsschoolcbe@yahoo.com,,3/31/2011,Secondary School,1980006 Affiliation No Secondary School
1930423,Ajc Public School,Principal Bennet J,"No.1 Raja Nagar Saveriar Kovil Tsunami Quarters West Side Kadampadi Nagappattinam - 611001 ,611001",Tamil Nadu,"0 ,8903009049",bennetbiology@gmail.com,www.ajcpublicschoolnagai.org,3/31/2023,Senior Secondary,1930423 Affiliation No Senior Secondary
1930372,Akchara Bala Bhavan,Principal G Umamageshwari,"Akchara Bala Bhavan, Lakshmana Samuthiram, Narasingapuram, Attur T.K, Salem -636108, Tamilnadu, India ,636108",Tamil Nadu,"4282 ,281121",akcharaprincipal@gmail.com,NIL,3/31/2020,Secondary School,1930372 Affiliation No Secondary School
1930826,Akg Public School,Principal Mrs.G. Pongal Punitha,"1/176, Bharathiyar St., Jaladianpet, Pallikaranai, Medavakkam Post ,600100",Tamil Nadu,",044 22461418",principal@akgpublicschool.com,,3/31/2020,Secondary School,1930826 Affiliation No Secondary School
1930258,Akr Academy School,Principal Indira Hariharan,"Sfno 413,Avinashi Main Road,T.M.Poondi (Post),Anaipudur ,641652",Tamil Nadu,"03192 ,04296270999, 04296273471",kln@akracademy.in,www.akracademy.in,3/31/2021,Senior Secondary,1930258 Affiliation No Senior Secondary
1930180,Akshara Vidyaashram,Principal Ms.R.Vanaja,"11 Beach Road Cuddalore Tamil Nadu ,607001",Tamil Nadu,"04142 ,291297",akshara.vidyaashram@gmail.com,www.aksharavidyaashram.com,3/31/2020,Senior Secondary,1930180 Affiliation No Senior Secondary
1930996,Aksharam International School,Principal Mr. A.Sivakumar,"Sf.No 426/2 ,Mathampalayam,Billichi,Coimbatore-641019,Tamilnadu. ,641019",Tamil Nadu,",0422-2461991",info@aksharamschool.org,,3/31/2022,Secondary School,1930996 Affiliation No Secondary School
1930249,Akshaya Academy Cbse School,Principal Bastin Kumar M,"Opposite To Travellers Bungalow, Dindigul Road, Palani ,624601",Tamil Nadu,"4545 ,241166",plncbeprincipal@gmail.com,akshayaacademy.com,3/31/2020,Secondary School,1930249 Affiliation No Secondary School
1930263,Akshaya Academy Cbse School,Principal Innacimuthu,"Puthuchatram Post, Oddanchatram ,624619",Tamil Nadu,"4553 ,241996",muthutis@gmail.com,www.akshayaacademy.com,3/31/2022,Senior Secondary,1930263 Affiliation No Senior Secondary
1930488,Akv Public School,Principal Mr. Palanivel P,"Suriyagoundampalayam, Mallasamudram(Po), Namakkal (Dt) ,637503",Tamil Nadu,"4288 ,04288238555",akvpublicschool@gmail.com,www.akvschools.com,3/31/2021,Senior Secondary,1930488 Affiliation No Senior Secondary
1930469,Al - Hira Model School,Principal Safeena Parveen J,"No. 16, B.N. Reddy Road T. Nagar, Chennai - 600017 ,600017",Tamil Nadu,"044 ,49014574",sfnparveen@gmail.com,www.al-hiramodelschool.com,3/31/2020,Senior Secondary,1930469 Affiliation No Senior Secondary
1930845,Al-Madinah Public School,Principal -,"- ,627005",Tamil Nadu,",8489270200",almadinahcbse@gmail.com,http://www.almadinahcbse.com,3/31/2021,Secondary School,1930845 Affiliation No Secondary School
1930660,Al-Munawara Islamic School Cbse,Principal Mr. Balaji G,"Al-Munawara Islamic School (Cbse) Indhra Nagar, Neivasalpatty Road,Sivapuram Post,Pudukkottai, Pudukkottai District ,622422",Tamil Nadu,"0 ,9629152772",AMIISCBSE@GMAIL.COM,www.almunawaraschool.org,3/31/2021,Senior Secondary,1930660 Affiliation No Senior Secondary
1930418,Alagar Public School,Principal Deepashree Sarma,"4/42/3, Muthammal Colony Extension. Thoothukudi 628002. ,628002",Tamil Nadu,"0461 ,2347300",principal@alagarschool.in,www.alagarschool.in,3/31/2020,Senior Secondary,1930418 Affiliation No Senior Secondary
1930312,Alagu Jothi Academy,Principal Noel Mani C,"Poompuhur Main Road, # 3, Melaiyur, Karuvazhakkari (Po), Tranquebar (Tk), Nagaipatinam District Pincode - 609 304 ,609304",Tamil Nadu,"4364 ,282838",principal@alagujothiacademy.in,www.alagujothiacademy.in,3/31/2022,Senior Secondary,1930312 Affiliation No Senior Secondary
1930578,Alchemy Public School,Principal Mrs. K.R.Vijayalakshmi,"Opp. P P G Institute Of Technology Saravanampatti ,641035",Tamil Nadu,"91 ,9626233033",alchemy@ppg.edu.in,www.ppg.edu.in/alchemypublicschool,3/31/2021,Senior Secondary,1930578 Affiliation No Senior Secondary
1930342,All India Modern School (Aims),Principal T Geethakrishnan,"595/D, Arcot Road, ,604407",Tamil Nadu,"4182 ,222070",principalaimscbse@gmail.com,www.aimscbse.edu.in,3/31/2020,Senior Secondary,1930342 Affiliation No Senior Secondary
1930800,Almighty Vidhyalaya Public School,Principal Dr. Sivakami K,"Almighty Vidhyalaya Public School Siruvachur ,621113",Tamil Nadu,"4328 ,04328292977,",shirazkirmani@gmail.com,www.avps.org.in,3/31/2022,Senior Secondary,1930800 Affiliation No Senior Secondary
1930798,Alpha School,Principal Mrs. Reena Alfred,"No: 16, 3Rd Cross Street, West Cit Nagar, Chennai ,600035",Tamil Nadu,"044 ,04424340369",citschool@alphagroup.edu,www.alphagroup.edu,3/31/2022,Senior Secondary,1930798 Affiliation No Senior Secondary
1930790,Alpha School,Principal Mrs. Shynu John,"No.30, Theruveethi Amman Kovil St, Alpha Nagar , Thundalam ,600116",Tamil Nadu,"044 ,044-24767765",alphapor@alphagroup.edu,www.alphagroup.edu,3/31/2022,Senior Secondary,1930790 Affiliation No Senior Secondary
1930195,Alpha Wisdom Vidyashram,Principal Dr M Porchelvi,"Alpha Avenue, Sudhana Nagar K K Nagar East Tiruchiurapalli Tamil Nadu ,620007",Tamil Nadu,"0431 ,2457308",iniyaram@yahoo.com,cbse.alphaeducation.edu.in,3/31/2022,Senior Secondary,1930195 Affiliation No Senior Secondary
1930749,Alwin International Public School,Principal Mrs. Jayanthi Sivakumar,"Zion Avenue, Padappai ,601301",Tamil Nadu,"044 ,04427174021",aipsschool2015@gmail.com,www.alwininternationalschool2015,3/31/2022,Senior Secondary,1930749 Affiliation No Senior Secondary
1930282,Alwin Memorial Public School,Principal Jayanthi Sivakumar,"Indira Nagar, Selaiyur, Chennai. 600 073 ,600073",Tamil Nadu,"044 ,22290665",alwinschool2010@gmail.com,www.alwinschoolcbse.com,3/31/2023,Senior Secondary,1930282 Affiliation No Senior Secondary
1930161,Amrita Vidyalayam,Principal Subashini Haridas,"Amman Nagar Nesapakkam Chennai ,600078",Tamil Nadu,"044 ,24700119",principal@avchennai.edu.in,www.avchennai.edu.in,3/31/2023,Senior Secondary,1930161 Affiliation No Senior Secondary
1930316,"Amrita Vidyalayam,",Principal Nirupamamrita Chaitanya,"Ramasamy Nagar, Extension Ii, Nallampalayam, Ganapathi Post ,641006",Tamil Nadu,"0422 ,2538326",avnallampalayam@gmail.com,www.amritavidyalayam.in,3/31/2022,Senior Secondary,1930316 Affiliation No Senior Secondary
1930334,"Amrita Vidyalayam,",Principal Usha Raghavan,"Tiruchirapalli Solanganalur Village, Malliyampath Post, Rettai Vaikal, Vayalur Road ,620102",Tamil Nadu,"0431 ,2918555",usha3466@gmail.com,amritavidyalayam.in,3/31/2023,Senior Secondary,1930334 Affiliation No Senior Secondary
1930359,"Amrita Vidyalayam,",Principal Jayaganapathy E,"Vadakudi Road, Collectorate Post Nagapattinam ,611003",Tamil Nadu,"4365 ,252025",ejgpat@yahoo.com,http://amritavidyalayam.in/nagapattinam,3/31/2023,Senior Secondary,1930359 Affiliation No Senior Secondary
1930444,"Amrita Vidyalayam, Ettimadai",Principal C Jayalatha,"Palakad Main Road, Ettimadai Post, ,641105",Tamil Nadu,"0422 ,2656621",principal.ave@gmail.com,avettimadai.edu.in,3/31/2020,Senior Secondary,1930444 Affiliation No Senior Secondary
1930556,"Amrita Vidyalayam, Kanyakumari",Principal Rajasekar S,"Amrita Puram, Saravanantheri, Agastheeswaram Post, Kanyakumari ,629701",Tamil Nadu,"4652 ,270700",annasekar@gmail.com,http://amrita.edu,3/31/2020,Senior Secondary,1930556 Affiliation No Senior Secondary
1930735,"Amrita Vidyalayam, Ramanathapuram",Principal Mr. Dhanapal P,"Rajasooryamadai Village, Keezhakarai Road, ,623504",Tamil Nadu,"091 ,9488904070",avramnad2014@gmail.com,amritavidyalayam.in,3/31/2022,Senior Secondary,1930735 Affiliation No Senior Secondary
1930886,"Amrita Vidyalayam, Thoothukudi",Principal Mr.Jayaganapathy E,"Amrita Nagar, Senthilampannai, Maravanmadam Post, ,628103",Tamil Nadu,",04612272003, 2272004",avthoothukudi2016@gmail.com,http://amritavidyalayam.in/,3/31/2021,Secondary School,1930886 Affiliation No Secondary School
1930760,"Amrita Vidyalayam, Tirupur",Principal Muralidharan S,"Vettuvapalayam Road, Mangalam Post ,641663",Tamil Nadu,"0421 ,2344517",smuralivasudha@gmail.com,http://amritavidyalayam.in,3/31/2020,Secondary School,1930760 Affiliation No Secondary School
1930315,Anan Kids Academy,Principal Veena Rajan S,"14/284/1, Sitra Road, Kalapatti, Coimbate 48 ,641048",Tamil Nadu,"0422 ,6565622",info@anankidsacademy.com,www.anankidsacademy.com,3/31/2024,Senior Secondary,1930315 Affiliation No Senior Secondary
1930054,Angappa Edu. Trust Sr Sec School,Principal K Navamani,"Raja Annamalai Chettiar Road S B Mission East Post Saibaba Colony Coimbatore Tamil Nadu ,641011",Tamil Nadu,"0422 ,2447532",principalangappa@gmail.com,www.angappasrsecschool.com,3/31/2023,Senior Secondary,1930054 Affiliation No Senior Secondary
1930881,Annai Meenakshi Public School,Principal Mrs.Geetha.D,"Tn Puthukudi, Pambukoil Sandhai Road, Puliankudi ,627855",Tamil Nadu,",04636-234310",annaimeenakshischool@gmail.com,,3/31/2021,Secondary School,1930881 Affiliation No Secondary School
1930810,Annai Violet International School,Principal Mrs. T.Esther Sathyavathy,"No.11, Red Hills Road, Pudur, Ambattur ,600053",Tamil Nadu,"044 ,04426864011",avis11.edu@gmail.com,www.violetcbse.com,3/31/2022,Senior Secondary,1930810 Affiliation No Senior Secondary
1930723,Antony Public School,Principal Dr.Lydia George,"Cuddalore Main Road, Pudukurapet Village, Sathamangalam Post ,606003",Tamil Nadu,"0473 ,04143239360",lydiajeyanthi@yahoo.co.in,http://www.antonypublicschoolpkpet.com,3/31/2020,Secondary School,1930723 Affiliation No Secondary School
1930535,Anugragha International School,Principal Sudha,"140/1A, Udumalpet -Dharapuram Main Road, Thungavi Village, Madathukulam (T.K) Tirupur (D.T) ,642203",Tamil Nadu,"4252 ,250143",anugraghaschool@gmail.com,www.anugragha.co.in,3/31/2020,Senior Secondary,1930535 Affiliation No Senior Secondary
1930520,Anugraha Mandhir,Principal Miss Sangeetha K. S.,"S.F. No. 54/3, Appanaickenpatti Main Road, Kalangal Village, Sulur ,641402",Tamil Nadu,"0422 ,04222914779",alshobaa@yahoo.in,www.anugrahaschools.com,3/31/2021,Senior Secondary,1930520 Affiliation No Senior Secondary
1930335,Anuvrat Vidhyalaya School,Principal Sundaramoorthi V T,"""Suswani Bagh"" Kannikapuram, Kalanipakkam Village, Vellore ,635809",Tamil Nadu,"0 ,9488961021",anuvratvidhyalaya2011@gmail.com,www.anuvratvidhyalaya.com,3/31/2018,Senior Secondary,1930335 Affiliation No Senior Secondary
1930568,Apex Pon Vidyashram,Principal Mrs. R. Niranjani,"No.42,Thirugnana Sampanthar Street,Srinivasa Nagar,, Velachery, Chennai. ,600091",Tamil Nadu,"044 ,04449528277",ponvelachery@gmail.com,www.ponvidyashram.in,3/31/2022,Senior Secondary,1930568 Affiliation No Senior Secondary
1930322,Apollo Vidyashram,Principal Vijayaragavan J,"Mevaloorkuppam, Sriperumbudur Taluk, Kancheepuram Dist, Tamil Nadu ,602105",Tamil Nadu,"044 ,30963304",prinavapollo@gmail.com,http://apollovidyashram.in/,3/31/2023,Senior Secondary,1930322 Affiliation No Senior Secondary
1931029,Apple Perks International School,Principal Mrs. Nancy Mary P,"S.No.11/2A1A, Svv Nagar, Kolathur. ,636303",Tamil Nadu,",9842723331",appleperkscbse@gmail.com,,3/31/2022,Secondary School,1931029 Affiliation No Secondary School
1930533,Appu Arivaalayem Secondary School,Principal Saraswathi Goundan,"Appu Thottam Rakkiyampatti Road Konganapuram Village Edappady Taluk Salem District ,637102",Tamil Nadu,"4283 ,266046",appuarivaalayem@gmail.com,www.kodaimaatchi.org,3/31/2022,Secondary School,1930533 Affiliation No Secondary School
1930497,Arb International School,Principal Mahesh K N,"Arbinternationalschool,Thallakkarai Village,Zamin Muthur(Po) ,642005",Tamil Nadu,"4259 ,261591",maheshkakkad@gmail.com,www.arbschool.edu.in,3/31/2020,Senior Secondary,1930497 Affiliation No Senior Secondary
